,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
112,17,22,45,2.0,2,2,2.0,2.0,,2.0,24.0,2,1.0,2304.0,2200.0
113,17,28,12,2.0,2,2,,2.0,,2.0,9.0,1,,,
114,17,27,16,2.0,2,2,2.0,2.0,,2.0,13.0,1,1.0,,4020.0
115,17,40,55,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2399.0,2310.0
116,17,17,42,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5901.0,7140.0
117,17,18,39,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,4101.0,2310.0
118,17,17,9,2.0,2,2,,2.0,,2.0,6.0,1,,,
119,17,23,5,2.0,2,2,,2.0,,2.0,2.0,2,,,
120,17,5,74,2.0,2,2,2.0,2.0,2.0,2.0,16.0,1,6.0,,
121,17,7,72,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,6105.0,
122,17,1,45,2.0,2,2,2.0,2.0,,2.0,17.0,1,1.0,,430.0
123,17,2,23,2.0,2,2,2.0,2.0,,2.0,12.0,1,6.0,,4010.0
124,17,17,39,2.0,2,2,2.0,2.0,,2.0,9.0,1,1.0,,7750.0
125,17,19,66,2.0,2,1,2.0,2.0,,2.0,9.0,2,6.0,,
126,17,21,52,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2499.0,140.0
127,17,23,51,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6108.0,10.0
128,17,21,16,2.0,2,2,2.0,2.0,,2.0,13.0,1,6.0,,
129,17,21,40,2.0,2,2,2.0,2.0,,2.0,14.0,1,6.0,,4020.0
130,17,11,26,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2414.0,1460.0
131,17,12,21,2.0,2,2,2.0,2.0,,2.0,12.0,1,6.0,,
132,17,107,29,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
133,17,117,34,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,4700.0
134,17,109,8,2.0,2,2,,2.0,,2.0,4.0,2,,,
135,17,114,7,2.0,2,2,,2.0,,2.0,4.0,1,,,
136,17,110,5,2.0,2,2,,2.0,,2.0,1.0,2,,,
137,17,104,3,,2,2,,,,,1.0,1,,,
138,17,14,94,1.0,2,2,1.0,1.0,,2.0,16.0,2,6.0,,
139,17,28,55,2.0,2,2,2.0,2.0,,1.0,11.0,2,1.0,,4220.0
140,17,16,53,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4920.0
141,17,15,26,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,3310.0
