,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
135,6,19,56,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,1302.0,4700.0
136,6,11,38,2.0,2,2,2.0,2.0,,2.0,12.0,2,3.0,,4230.0
137,6,10,58,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,1901.0,5510.0
138,6,10,17,2.0,2,2,2.0,2.0,,2.0,13.0,1,6.0,,
139,6,12,17,2.0,2,2,2.0,2.0,,2.0,14.0,2,6.0,,
140,6,11,14,2.0,2,2,,2.0,,2.0,12.0,2,,,
141,6,13,4,,2,2,,,,,1.0,1,,,
142,6,13,2,,2,2,,,,,,1,,,
143,6,11,1,,2,2,,,,,,2,,,
144,6,17,35,2.0,2,2,2.0,2.0,,2.0,10.0,1,1.0,,6440.0
145,6,15,23,2.0,2,2,2.0,2.0,,2.0,12.0,2,1.0,,4760.0
146,6,15,36,2.0,2,2,2.0,2.0,,2.0,12.0,2,3.0,,4230.0
147,6,13,56,2.0,2,2,2.0,2.0,,2.0,19.0,1,3.0,,4400.0
148,6,10,39,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6201.0,800.0
149,6,9,10,2.0,2,2,,2.0,,2.0,8.0,2,,,
150,6,9,8,2.0,2,2,,2.0,,2.0,6.0,2,,,
151,6,11,66,2.0,2,2,2.0,2.0,1.0,2.0,20.0,1,6.0,,
152,6,12,61,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,6206.0,
153,6,21,62,2.0,2,2,2.0,2.0,,2.0,9.0,2,6.0,,
154,6,20,64,2.0,2,2,2.0,2.0,,2.0,9.0,1,6.0,,
155,6,29,44,2.0,2,2,1.0,2.0,2.0,1.0,18.0,1,6.0,,
156,6,26,41,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,2145.0
157,6,25,22,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,
158,6,21,17,2.0,2,2,2.0,2.0,,2.0,14.0,1,6.0,,
159,6,20,11,2.0,2,2,,2.0,,2.0,8.0,1,,,
160,6,19,9,2.0,2,2,,2.0,,2.0,6.0,2,,,
161,6,29,42,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9600.0
162,6,18,40,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6200.0,1006.0
163,6,17,58,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,5700.0
164,6,11,74,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
165,6,8,81,1.0,2,2,1.0,1.0,2.0,1.0,16.0,1,6.0,,
166,6,18,52,2.0,2,2,2.0,2.0,,2.0,12.0,1,1.0,,4220.0
167,6,9,79,2.0,2,2,2.0,1.0,2.0,2.0,21.0,1,6.0,4101.0,50.0
168,6,12,51,2.0,2,2,2.0,2.0,,1.0,15.0,1,6.0,,
169,6,3,54,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,
170,6,22,35,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6200.0,430.0
171,6,16,81,1.0,2,2,1.0,1.0,,1.0,20.0,2,6.0,,
172,6,28,33,2.0,2,2,2.0,2.0,,2.0,23.0,2,1.0,2405.0,1650.0
173,6,26,28,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5007.0,1610.0
174,6,33,1,,2,2,,,,,,2,,,
175,6,3,64,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6203.0,4760.0
176,6,9,65,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,6201.0,940.0
177,6,8,45,2.0,2,2,2.0,2.0,2.0,2.0,16.0,1,1.0,,7700.0
178,6,6,50,2.0,2,2,2.0,2.0,2.0,2.0,19.0,2,2.0,,2540.0
179,6,8,21,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,3955.0
180,6,6,17,2.0,2,2,2.0,2.0,,2.0,14.0,2,1.0,,3955.0
181,6,5,15,2.0,2,2,2.0,2.0,,2.0,13.0,2,,,
182,6,17,41,2.0,2,1,2.0,2.0,,2.0,19.0,2,2.0,,9415.0
183,6,23,16,2.0,2,2,2.0,2.0,,2.0,13.0,1,6.0,,
184,6,16,7,2.0,2,2,,2.0,,1.0,4.0,2,,,
185,6,19,71,2.0,2,2,2.0,2.0,,2.0,18.0,2,6.0,,
186,6,7,74,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,6.0,1105.0,
187,6,5,72,2.0,2,2,2.0,1.0,,2.0,19.0,2,6.0,,
188,6,18,39,2.0,2,2,2.0,2.0,2.0,2.0,20.0,1,1.0,,3255.0
189,6,19,39,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,3255.0
190,6,14,10,2.0,2,2,,2.0,,2.0,9.0,1,,,
191,6,14,7,2.0,2,2,,2.0,,2.0,5.0,1,,,
192,6,35,42,2.0,2,2,2.0,2.0,,2.0,22.0,1,6.0,6004.0,
193,6,30,38,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6107.0,3255.0
194,6,29,6,2.0,2,2,,2.0,,2.0,4.0,1,,,
195,6,15,33,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,3401.0,2310.0
196,6,10,36,2.0,2,2,2.0,2.0,,1.0,20.0,1,1.0,,1020.0
197,6,9,1,,2,2,,,,,,2,,,
198,6,19,68,2.0,2,2,2.0,2.0,2.0,2.0,22.0,1,1.0,6201.0,800.0
199,6,20,66,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
200,6,13,60,1.0,2,2,1.0,1.0,,1.0,14.0,2,6.0,,
201,6,24,42,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,3301.0,5940.0
202,6,10,47,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,1006.0
203,6,12,55,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,2010.0
204,6,10,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,
205,6,10,14,2.0,2,2,,2.0,,2.0,11.0,1,,,
206,6,2,22,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,2340.0
207,6,8,53,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,6210.0,2310.0
208,6,29,47,2.0,2,2,2.0,2.0,,2.0,17.0,2,1.0,,350.0
209,6,47,28,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5000.0
210,6,17,44,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6201.0,800.0
211,6,16,44,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
212,6,13,14,2.0,2,2,,2.0,,2.0,11.0,1,,,
213,6,13,11,2.0,2,2,,2.0,,2.0,8.0,2,,,
214,6,18,57,2.0,2,2,2.0,2.0,,2.0,23.0,2,1.0,5501.0,2100.0
215,6,19,60,2.0,2,2,2.0,2.0,,2.0,23.0,2,6.0,5098.0,2100.0
216,6,4,23,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5301.0,4110.0
217,6,5,28,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,330.0
218,6,17,55,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,5506.0,120.0
219,6,18,58,2.0,2,2,2.0,2.0,2.0,2.0,19.0,1,3.0,,430.0
220,6,2,51,2.0,2,2,2.0,2.0,,2.0,16.0,1,3.0,,9920.0
221,6,11,34,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5301.0,5000.0
222,6,11,37,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,2602.0,2320.0
223,6,12,15,2.0,2,2,2.0,2.0,,2.0,12.0,1,,,
224,6,12,11,2.0,2,2,,2.0,,2.0,8.0,2,,,
225,6,14,2,,2,2,,,,,,1,,,
226,6,9,38,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5860.0
227,6,16,38,2.0,2,2,2.0,2.0,,2.0,17.0,1,1.0,,6200.0
228,6,7,13,2.0,2,2,,2.0,,2.0,10.0,2,,,
229,6,14,29,2.0,2,1,2.0,2.0,,2.0,18.0,2,3.0,,310.0
230,6,14,13,2.0,2,2,,2.0,,2.0,9.0,1,,,
231,6,14,10,2.0,2,2,,2.0,,2.0,7.0,1,,,
232,6,9,8,2.0,2,2,,2.0,,2.0,5.0,2,,,
233,6,10,5,2.0,2,2,,2.0,,2.0,2.0,2,,,
