,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
191,25,12,70,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,2304.0,
192,25,11,79,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6203.0,5850.0
193,25,14,19,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,1050.0
194,25,17,50,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,7220.0
195,25,24,72,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,5020.0
196,25,13,19,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4030.0
197,25,6,18,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,4720.0
198,25,18,24,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5200.0,2010.0
199,25,9,29,2.0,2,2,2.0,2.0,,2.0,24.0,2,1.0,5003.0,1760.0
200,25,10,31,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,5003.0,1650.0
201,25,15,56,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,4760.0
202,25,19,37,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,310.0
203,25,16,36,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6203.0,350.0
204,25,34,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
205,25,16,6,2.0,2,2,,2.0,,2.0,3.0,2,,,
206,25,12,53,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,8040.0
207,25,14,42,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4230.0
208,25,8,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
209,25,11,13,2.0,2,2,,2.0,,2.0,11.0,1,,,
210,25,12,52,2.0,2,2,2.0,2.0,,1.0,21.0,2,6.0,5507.0,
211,25,5,89,2.0,2,2,1.0,1.0,,2.0,19.0,2,6.0,,
212,25,10,77,2.0,2,2,2.0,2.0,2.0,2.0,18.0,1,6.0,,4040.0
213,25,47,31,2.0,2,2,2.0,2.0,,2.0,19.0,2,3.0,,4010.0
214,25,55,32,2.0,2,2,2.0,2.0,,2.0,19.0,1,1.0,,4760.0
215,25,21,31,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2502.0,1020.0
216,25,19,32,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,
217,25,5,35,2.0,2,2,2.0,2.0,,2.0,16.0,2,3.0,,7840.0
218,25,5,16,2.0,2,2,2.0,2.0,,2.0,12.0,2,6.0,,
219,25,5,26,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,4610.0
220,25,22,67,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,3601.0,7700.0
221,25,24,67,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,4920.0
222,25,31,62,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5301.0,9120.0
223,25,10,38,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,8255.0
224,25,11,38,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,5700.0
225,25,14,16,2.0,2,2,2.0,2.0,,2.0,13.0,1,6.0,,
226,25,19,45,2.0,2,2,2.0,2.0,,2.0,6.0,2,1.0,,8965.0
227,25,23,24,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,3601.0,1720.0
228,25,18,49,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5501.0,4760.0
229,25,18,52,2.0,2,2,2.0,2.0,,2.0,19.0,2,3.0,,5120.0
230,25,26,82,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,2313.0,
231,25,18,57,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,2599.0,1020.0
232,25,20,61,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,3301.0,2310.0
233,25,22,23,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,2314.0,
234,25,61,36,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2405.0,5000.0
235,25,83,36,2.0,2,2,2.0,2.0,2.0,2.0,16.0,1,1.0,,1550.0
236,25,19,63,2.0,2,2,2.0,2.0,,1.0,19.0,2,6.0,,
237,25,15,53,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5200.0,136.0
238,25,15,24,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,2901.0,4620.0
239,25,41,46,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,1901.0,725.0
240,25,77,17,2.0,2,2,2.0,2.0,,2.0,14.0,1,3.0,,9920.0
241,25,66,7,2.0,2,2,,2.0,,2.0,4.0,2,,,
242,25,22,77,2.0,1,2,2.0,2.0,2.0,2.0,21.0,1,6.0,2400.0,
243,25,24,78,2.0,1,2,2.0,1.0,,2.0,16.0,2,6.0,,
244,25,14,58,2.0,2,2,1.0,1.0,2.0,1.0,16.0,1,6.0,,5900.0
245,25,5,69,1.0,2,2,1.0,1.0,,2.0,16.0,2,6.0,,
246,25,2,72,2.0,2,2,2.0,2.0,2.0,2.0,21.0,1,6.0,3700.0,
247,25,3,69,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
248,25,2,40,2.0,2,2,2.0,2.0,,2.0,22.0,2,3.0,6006.0,735.0
249,25,14,39,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,6520.0
250,25,14,37,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,4760.0
251,25,12,0,,2,2,,,,,,1,,,
252,25,12,12,2.0,2,2,,2.0,,2.0,9.0,2,,,
253,25,8,52,2.0,2,2,2.0,2.0,1.0,2.0,16.0,1,6.0,,
254,25,30,28,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,3301.0,2830.0
255,25,28,28,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5200.0,120.0
256,25,25,70,2.0,2,2,2.0,2.0,2.0,2.0,22.0,1,6.0,5003.0,6515.0
257,25,27,70,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,3301.0,2310.0
258,25,49,57,2.0,2,2,2.0,2.0,,2.0,20.0,1,6.0,,
259,25,46,56,2.0,1,1,2.0,2.0,,2.0,16.0,2,6.0,,
260,25,11,34,2.0,2,2,2.0,2.0,,2.0,18.0,2,3.0,,5600.0
261,25,8,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
262,25,9,14,2.0,2,2,,2.0,,2.0,10.0,2,,,
263,25,19,1,,2,2,,,,,,2,,,
264,25,14,49,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,9130.0
265,25,21,36,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,6402.0,
266,25,21,38,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,1501.0,4850.0
267,25,22,8,2.0,2,2,,2.0,,2.0,5.0,2,,,
268,25,25,7,2.0,2,2,,2.0,,2.0,3.0,1,,,
269,25,16,4,,2,2,,,,,2.0,1,,,
270,25,17,4,,2,2,,,,,2.0,1,,,
271,25,3,53,1.0,2,1,1.0,1.0,,1.0,16.0,1,6.0,,
272,25,8,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,4110.0
273,25,17,53,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5700.0
274,25,8,64,2.0,2,2,2.0,2.0,,2.0,20.0,2,6.0,,4620.0
275,25,65,40,2.0,2,2,2.0,2.0,,1.0,13.0,1,6.0,,5620.0
276,25,22,73,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,4720.0
277,25,24,73,2.0,2,2,2.0,2.0,,2.0,21.0,1,6.0,3600.0,
278,25,34,60,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5240.0
279,25,5,94,1.0,2,2,1.0,1.0,,1.0,20.0,2,6.0,,
280,25,14,45,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,5502.0,1650.0
281,25,14,43,2.0,2,2,2.0,2.0,,2.0,24.0,1,1.0,5506.0,2100.0
282,25,13,3,,2,2,,,,,1.0,1,,,
283,25,12,0,,2,2,,,,,,1,,,
284,25,20,75,2.0,2,1,2.0,2.0,,1.0,1.0,2,6.0,,
285,25,15,65,2.0,2,2,2.0,2.0,,2.0,24.0,2,1.0,2602.0,3600.0
286,25,13,81,2.0,2,2,2.0,2.0,1.0,2.0,21.0,1,6.0,3700.0,
287,25,63,63,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,3645.0
288,25,53,74,2.0,1,2,2.0,2.0,,2.0,22.0,1,1.0,2399.0,4250.0
289,25,120,41,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4110.0
290,25,120,40,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2314.0,2340.0
291,25,63,17,2.0,2,2,2.0,2.0,,2.0,13.0,2,6.0,,
292,25,13,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,4250.0
293,25,17,65,2.0,2,2,2.0,2.0,,2.0,22.0,2,6.0,5200.0,710.0
294,25,16,66,2.0,2,2,2.0,2.0,2.0,2.0,20.0,1,1.0,,2630.0
295,25,27,26,2.0,2,2,2.0,2.0,,2.0,18.0,1,3.0,,4250.0
296,25,8,50,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
297,25,13,23,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,3740.0
298,25,14,41,2.0,2,2,2.0,2.0,,2.0,18.0,1,3.0,,1050.0
299,25,19,69,2.0,2,2,2.0,2.0,2.0,2.0,17.0,1,1.0,,9120.0
300,25,20,63,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5700.0
301,25,36,90,1.0,2,2,1.0,1.0,,1.0,16.0,2,6.0,,
